Date,ahv,usimm,permits,perms,wage_r,percip,temp,month,ahv,sdiff,bdiff,cagas,mtgas,gas_r,lumber,dlumber,mort, caimm ,percentca
17-Jan,250000,655,134,134,1.288343558,0.84,35.8,1,366000,1000,2000,2.79,2.23,1.251121076,329,-12,4.15, 170 ,0.259
17-Feb,251000,712,211,211,1.288343558,2.8,40.4,2,369000,1000,3000,2.8,2.25,1.244444444,337,8,4.17, 184 ,0.259
17-Mar,253000,733,511,511,1.288343558,2.99,52.6,3,372000,2000,3000,2.98,2.31,1.29004329,374,37,4.2, 190 ,0.259
17-Apr,254000,905,392,392,1.288343558,2.33,59.6,4,375000,1000,3000,2.96,2.31,1.281385281,374,0,4.05, 234 ,0.259
17-May,255000,981,410,410,1.288343558,0.71,68,5,377000,1000,2000,2.96,2.35,1.259574468,392,18,4.01, 254 ,0.259
17-Jun,256000,977,829,829,1.288343558,2.62,64.3,6,379000,1000,2000,3.11,2.36,1.31779661,353,-39,3.9, 253 ,0.259
17-Jul,257000,872,383,383,1.288343558,0.07,54,7,381000,1000,2000,2.98,2.32,1.284482759,357,4,3.97, 226 ,0.259
17-Aug,258000,851,357,357,1.288343558,0.19,41.4,8,383000,1000,2000,3.02,2.34,1.290598291,380,23,3.88, 220 ,0.259
17-Sep,259000,898,369,369,1.288343558,0.99,35.4,9,386000,1000,3000,3.17,2.51,1.262948207,374,-6,3.81, 233 ,0.259
17-Oct,260000,933,466,466,1.288343558,1.28,28.9,10,390000,1000,4000,3.15,2.52,1.25,406,32,3.9, 242 ,0.259
17-Nov,262000,761,248,248,1.288343558,1.69,33.8,11,394000,2000,4000,3.21,2.56,1.25390625,453,47,3.92, 197 ,0.259
17-Dec,263000,597,164,164,1.288343558,2.98,26.6,12,398000,1000,4000,3.17,2.54,1.248031496,435,-18,3.95, 155 ,0.259
18-Jan,264000,403,138,138,1.325301205,1.17,37,13,402000,1000,4000,3.18,2.53,1.256916996,449,14,4.03, 156 ,0.388
18-Feb,265000,419,179,179,1.325301205,2.14,43.6,14,405000,1000,3000,3.32,2.52,1.317460317,475,26,4.33, 163 ,0.388
18-Mar,266000,561,295,295,1.325301205,0.42,58.4,15,408000,1000,3000,3.4,2.56,1.328125,491,16,4.44, 218 ,0.388
18-Apr,267000,578,422,422,1.325301205,1.54,59.7,16,410000,1000,2000,3.52,2.55,1.380392157,512,21,4.47, 224 ,0.388
18-May,269000,602,380,380,1.325301205,1.78,66.3,17,414000,2000,4000,3.61,2.71,1.332103321,572,60,4.59, 234 ,0.388
18-Jun,271000,598,436,436,1.325301205,2.63,65.5,18,418000,2000,4000,3.68,2.89,1.273356401,593,21,4.57, 232 ,0.388
18-Jul,273000,563,398,398,1.325301205,0.3,55.5,19,422000,2000,4000,3.7,2.88,1.284722222,557,-36,4.53, 218 ,0.388
18-Aug,274000,521,339,339,1.325301205,0.22,44.7,20,426000,1000,4000,3.67,2.89,1.269896194,440,-117,4.55, 202 ,0.388
18-Sep,275000,569,396,396,1.325301205,0.59,37.3,21,428000,1000,2000,3.67,2.9,1.265517241,419,-21,4.63, 221 ,0.388
18-Oct,276000,596,420,420,1.325301205,1.17,29,22,429000,1000,1000,3.85,2.96,1.300675676,337,-82,4.83, 231 ,0.388
18-Nov,277000,377,240,240,1.325301205,1.52,25.6,23,430000,1000,1000,3.81,3.01,1.265780731,326,-11,4.87, 146 ,0.388
18-Dec,278000,382,324,324,1.325301205,0.46,11.3,24,432000,1000,2000,3.43,2.52,1.361111111,335,9,4.64, 148 ,0.388
19-Jan,279000,431,280,280,1.294117647,1.37,25.5,25,434000,1000,2000,3.31,2.23,1.484304933,333,-2,4.46, 221 ,0.512
19-Feb,281000,439.62,134,134,1.294117647,1.79,43.9,26,436000,2000,2000,3.27,2.23,1.466367713,419,86,4.37, 225 ,0.512
19-Mar,282000,587,316,316,1.294117647,0.98,53.5,27,439000,1000,3000,3.32,2.31,1.437229437,382,-37,4.27, 301 ,0.512
19-Apr,283000,566,413,413,1.294117647,1.19,59.4,28,442000,1000,3000,3.5,2.58,1.356589147,365,-17,4.14, 290 ,0.512
19-May,284000,599,367,367,1.294117647,1.63,63.4,29,445000,1000,3000,3.94,2.78,1.417266187,338,-27,4.07, 307 ,0.512
19-Jun,285000,543,364,364,1.294117647,1.96,64.8,30,450000,1000,5000,4.01,2.86,1.402097902,302,-36,3.8, 278 ,0.512
19-Jul,287000,611,319,319,1.294117647,1.12,56.1,31,454000,2000,4000,3.83,2.77,1.38267148,394,92,3.77, 313 ,0.512
19-Aug,288000,488,347,347,1.294117647,0.65,37.4,32,456000,1000,2000,3.7,2.8,1.321428571,363,-31,3.62, 250 ,0.512
19-Sep,290000,497,371,371,1.294117647,2.5,30.8,33,458000,2000,2000,3.61,2.72,1.327205882,369,6,3.61, 254 ,0.512
19-Oct,291000,533,268,268,1.294117647,1.12,31.2,34,459000,1000,1000,3.94,2.7,1.459259259,362,-7,3.69, 273 ,0.512
19-Nov,292000,461,242,242,1.294117647,0.9,28.8,35,461000,1000,2000,4.09,2.71,1.509225092,413,51,3.7, 236 ,0.512
19-Dec,293000,427,189,189,1.294117647,0.48,30.4,36,460000,1000,-1000,3.71,2.66,1.394736842,409,-4,3.72, 219 ,0.512
20-Jan,294000,558,299,299,1.271676301,1.59,34.3,37,462000,1000,2000,3.59,2.51,1.430278884,432,23,3.62, 291 ,0.522
20-Feb,295000,599.85,273,273,1.271676301,0.61,40.6,38,465000,1000,3000,3.48,2.49,1.397590361,423,-9,3.47, 313 ,0.522
20-Mar,296000,726,323,323,1.271676301,0.1,50.5,39,470000,1000,5000,3.38,2.39,1.414225941,423,0,3.45, 379 ,0.522
20-Apr,297000,713,317,317,1.271676301,1.53,57.8,40,474000,1000,4000,2.95,1.96,1.505102041,260,-163,3.31, 372 ,0.522
20-May,299000,777,471,471,1.271676301,3.44,63.3,41,477000,2000,3000,2.7,1.71,1.578947368,328,68,3.23, 406 ,0.522
20-Jun,301000,821,305,305,1.271676301,5.39,65.5,42,480000,2000,3000,2.96,1.9,1.557894737,362,34,3.16, 429 ,0.522
20-Jul,303000,694,462,462,1.271676301,1.22,55.9,43,484000,2000,4000,3.13,2.21,1.416289593,432,70,3.02, 362 ,0.522
20-Aug,305000,618,527,527,1.271676301,0.41,41,44,490000,2000,6000,3.2,2.22,1.441441441,596,164,2.94, 323 ,0.522
20-Sep,308000,667.44,408,408,1.271676301,0.36,34.1,45,498000,3000,8000,3.22,2.23,1.443946188,728,132,2.89, 348 ,0.522
20-Oct,311000,693,353,353,1.271676301,2.73,28.1,46,509000,3000,11000,3.21,2.22,1.445945946,622,-106,2.83, 362 ,0.522
20-Nov,315000,581,274,274,1.271676301,1.84,29.5,47,519000,4000,10000,3.2,2.21,1.447963801,503,-119,2.77, 303 ,0.522
20-Dec,319000,529,580,580,1.271676301,0.85,19.7,48,533000,4000,14000,3.22,2.22,1.45045045,635,132,2.68, 276 ,0.522
21-Jan,323000,596,241,241,1.257142857,0.77,36.6,49,545000,4000,12000,3.31,2.24,1.477678571,701,66,2.74, 342 ,0.573
21-Feb,328000,638,222,222,1.257142857,1.76,42.3,50,558000,5000,13000,3.41,2.25,1.515555556,871,170,2.81, 366 ,0.573
21-Mar,333000,765.6,348,348,1.257142857,0.19,52.1,51,571000,5000,13000,3.77,2.51,1.501992032,815,-56,3.08, 439 ,0.573
